jev-large-windows: 1/57 queries; 101 scores; 101 attempts
jev-large-windows: 2/57 queries; 201 scores; 201 attempts
jev-large-windows: 3/57 queries; 308 scores; 308 attempts
jev-large-windows: 4/57 queries; 408 scores; 408 attempts
jev-large-windows: 5/57 queries; 514 scores; 514 attempts
jev-large-windows: 6/57 queries; 627 scores; 627 attempts
jev-large-windows: 7/57 queries; 739 scores; 739 attempts
jev-large-windows: 8/57 queries; 857 scores; 857 attempts
jev-large-windows: 9/57 queries; 957 scores; 957 attempts
jev-large-windows: 10/57 queries; 1061 scores; 1061 attempts
jev-large-windows: 11/57 queries; 1174 scores; 1174 attempts
jev-large-windows: 12/57 queries; 1288 scores; 1288 attempts
jev-large-windows: 13/57 queries; 1389 scores; 1389 attempts
jev-large-windows: 14/57 queries; 1490 scores; 1490 attempts
jev-large-windows: 15/57 queries; 1590 scores; 1590 attempts
jev-large-windows: 16/57 queries; 1690 scores; 1690 attempts
jev-large-windows: 17/57 queries; 1792 scores; 1792 attempts
jev-large-windows: 18/57 queries; 1892 scores; 1892 attempts
jev-large-windows: 19/57 queries; 2003 scores; 2003 attempts
jev-large-windows: 20/57 queries; 2107 scores; 2107 attempts
jev-large-windows: 21/57 queries; 2223 scores; 2223 attempts
jev-large-windows: 22/57 queries; 2323 scores; 2323 attempts
jev-large-windows: 23/57 queries; 2430 scores; 2430 attempts
jev-large-windows: 24/57 queries; 2530 scores; 2530 attempts
jev-large-windows: 25/57 queries; 2663 scores; 2663 attempts
jev-large-windows: 26/57 queries; 2763 scores; 2763 attempts
jev-large-windows: 27/57 queries; 2864 scores; 2864 attempts
jev-large-windows: 28/57 queries; 2975 scores; 2975 attempts
jev-large-windows: 29/57 queries; 3087 scores; 3087 attempts
jev-large-windows: 30/57 queries; 3192 scores; 3192 attempts
jev-large-windows: 31/57 queries; 3292 scores; 3292 attempts
jev-large-windows: 32/57 queries; 3392 scores; 3392 attempts
jev-large-windows: 33/57 queries; 3492 scores; 3492 attempts
jev-large-windows: 34/57 queries; 3592 scores; 3592 attempts
jev-large-windows: 35/57 queries; 3704 scores; 3704 attempts
jev-large-windows: 36/57 queries; 3812 scores; 3812 attempts
jev-large-windows: 37/57 queries; 3912 scores; 3912 attempts
jev-large-windows: 38/57 queries; 4012 scores; 4012 attempts
jev-large-windows: 39/57 queries; 4112 scores; 4112 attempts
jev-large-windows: 40/57 queries; 4223 scores; 4223 attempts
jev-large-windows: 41/57 queries; 4326 scores; 4326 attempts
jev-large-windows: 42/57 queries; 4434 scores; 4434 attempts
jev-large-windows: 43/57 queries; 4534 scores; 4534 attempts
jev-large-windows: 44/57 queries; 4637 scores; 4637 attempts
jev-large-windows: 45/57 queries; 4740 scores; 4740 attempts
jev-large-windows: 46/57 queries; 4852 scores; 4852 attempts
jev-large-windows: 47/57 queries; 4960 scores; 4960 attempts
jev-large-windows: 48/57 queries; 5124 scores; 5124 attempts
jev-large-windows: 49/57 queries; 5239 scores; 5239 attempts
jev-large-windows: 50/57 queries; 5339 scores; 5339 attempts
jev-large-windows: 51/57 queries; 5444 scores; 5444 attempts
jev-large-windows: 52/57 queries; 5547 scores; 5547 attempts
jev-large-windows: 53/57 queries; 5648 scores; 5648 attempts
jev-large-windows: 54/57 queries; 5763 scores; 5763 attempts
jev-large-windows: 55/57 queries; 5863 scores; 5863 attempts
jev-large-windows: 56/57 queries; 5964 scores; 5964 attempts
jev-large-windows: 57/57 queries; 6090 scores; 6090 attempts
/private/tmp/ir-jev-v2-documents/reranking/results/msmarco-v2-dl2021-documents/jev-large-windows
